country,age,sex,score
AU,20s,f,90.8314619078218
US,20s,f,82.333650972162
US,20s,f,78.0310672308717
US,20s,f,88.7957881875558
US,20s,f,80.2046635675998
US,20s,f,85.8817857690156
CA,20s,f,83.7459065552269
US,20s,f,82.793619767541
US,20s,f,75.8762705538954
US,20s,f,85.4718056995244
US,20s,f,83.8540845827776
US,20s,f,86.4362992124543
US,20s,f,79.9162640103272
US,20s,f,80.8620522774401
AU,20s,f,77.2050532911505
US,20s,f,78.816544264555
US,20s,f,80.5188075417564
US,20s,f,77.1591757734617
CA,20s,f,91.6155739066502
US,20s,f,89.5241265484531
US,20s,f,89.4845031844896
AU,20s,f,90.9488719427914
US,20s,f,82.6668061316013
AU,20s,f,72.7115443774632
US,20s,f,86.3993108716039
GB,20s,f,73.6191205414278
AU,20s,f,84.4522013373318
US,20s,f,86.4524238077658
US,20s,f,81.6537998084511
US,20s,f,83.7219801509664
US,20s,f,72.6962413816225
GB,20s,f,86.7770655524163
US,20s,f,81.6591556183994
GB,20s,f,81.0421254485846
US,20s,f,80.2589687917914
US,20s,f,79.7419111111334
GB,20s,f,86.8467699847229
US,20s,f,67.2813453135036
US,20s,f,77.8384676469224
US,20s,f,74.7154940363197
US,20s,f,84.594533814206
US,20s,f,81.4529175448808
US,20s,f,90.949644531966
US,20s,f,74.8509984995638
US,20s,f,87.5843447588739
US,20s,f,92.5979079301691
US,20s,f,84.2346885973322
CA,20s,f,88.0651705840137
US,20s,f,83.3159641140983
US,20s,f,94.4802085547486
US,20s,f,81.7696036682242
US,20s,f,78.1448795327118
US,20s,f,82.7395911461541
US,20s,f,75.0191272480325
US,20s,f,92.1776271840957
US,20s,f,84.1431394352445
US,20s,f,65.858282148838
US,20s,f,92.206675843114
US,20s,f,86.1986503825479
US,20s,f,84.004843164058
US,20s,f,70.3065107266108
US,20s,f,90.7869733748071
US,20s,f,84.053197059603
US,20s,f,84.5859894556703
US,20s,f,87.2539587806733
GB,20s,f,89.4936911030007
US,20s,f,77.4936654205833
US,20s,f,80.5746138982829
US,20s,f,79.093557108371
US,20s,f,83.3193446454104
US,20s,f,77.5756370808397
US,20s,f,73.8084991595575
US,20s,f,80.2605225571564
